species	mean	sd	lower	upper	dq	n	points
2P_Bonobos_REJOINTComp	3.15	1.01	2.37364527448126	3.92635472551874	accuracy	9	2
2P_Bonobos_REJOINTComp	0.37	0.19	0.22395307143707	0.51604692856293	precision_rms	9	2
2P_Bonobos_REJOINTComp	0.25	0.15	0.134699793239792	0.365300206760208	precision_sd	9	2
2P_Bonobos_REJOINTComp	0.02	0.02	0.0046266390986389	0.0353733609013611	robustness	9	2
5P_Bonobos2_ETVamis	2.91735840800615	0.430791860732464	2.5862224705857	3.2484943454266	accuracy	9	5
5P_Bonobos2_ETVamis	0.428675513928003	0.167790958081132	0.299699966199683	0.557651061656323	precision_rms	9	5
5P_Bonobos2_ETVamis	0.296141174222476	0.147045352193064	0.183112110815891	0.409170237629062	precision_sd	9	5
5P_Bonobos2_ETVamis	0.00830217480352548	0.00298285121030497	0.00600935239497148	0.0105949972120795	robustness	9	5
