species	mean	sd	lower	upper	dq	n	points
2P_Orangs_REJOINTComp	3.36	1.19	2.11117158852378	4.60882841147622	accuracy	6	2
2P_Orangs_REJOINTComp	0.22	0.09	0.125550792409361	0.314449207590639	precision_rms	6	2
2P_Orangs_REJOINTComp	0.14	0.09	0.0455507924093614	0.234449207590639	precision_sd	6	2
2P_Orangs_REJOINTComp	0.02	0.0099	0.00961058716502976	0.0303894128349702	robustness	6	2
5P_Orangs_ETVamis	2.52939970792083	0.763635772672263	1.72801311217905	3.33078630366261	accuracy	6	5
5P_Orangs_ETVamis	0.31074617086659	0.208170184390374	0.0922849602036133	0.529207381529567	precision_rms	6	5
5P_Orangs_ETVamis	0.196205054846256	0.118364121518001	0.0719895272402867	0.320420582452225	precision_sd	6	5
5P_Orangs_ETVamis	0.0147240597444099	0.0102889437800687	0.00392647544471979	0.0255216440441001	robustness	6	5
