species	mean	sd	lower	upper	dq	n	points
2P_Bonobos_REJOINTComp	3.15	1.01	2.37364527448126	3.92635472551874	accuracy	9	2
2P_Bonobos_REJOINTComp	0.37	0.19	0.22395307143707	0.51604692856293	precision_rms	9	2
2P_Bonobos_REJOINTComp	0.25	0.15	0.134699793239792	0.365300206760208	precision_sd	9	2
2P_Bonobos_REJOINTComp	0.02	0.02	0.0046266390986389	0.0353733609013611	robustness	9	2
5P_Bonobos_ETVamis	4.02890941033714	0.887060457176584	3.34705438286204	4.71076443781224	accuracy	9	5
5P_Bonobos_ETVamis	0.589255356624017	0.452152513092529	0.241700168312574	0.936810544935459	precision_rms	9	5
5P_Bonobos_ETVamis	0.464898324852703	0.428599749316615	0.135447393428842	0.794349256276563	precision_sd	9	5
5P_Bonobos_ETVamis	0.00882022398458363	0.00703524885014988	0.00341245300437164	0.0142279949647956	robustness	9	5
